study_accession	study_title	study_description
PRJDB6640	Kopi Luwak of Civet cat (Paradoxurus hermaphroditus) feces microbiome	Civet cat is known to make exclusive coffee, which called kopi luwak (Indonesian words for coffee and palm civet). However, we have not yet known what kind of factor making such a luxual value of kopi luwak. Recent metabolomics study revealed that kopi luwak metabolite is defferent from original coffee beans and the other coffee beans. The most important process is that coffee beans eaten by civet cat and corrected these beans from civet cat feces. In this study, we considered civet cat gut microbiome can affect to fermentation of kopi luwak to make some kind of metabolite, and we revealed civet cat feces microbiome using 16S rRNA analysis. Moreover, to compare civet cat feces and other animals (i.e. dog, monkey), we downloaded 14 vertebrate's fecal 16S analysis data. As a result, we can observe Gluconobacter and Citorobacter are specifically unique genus in the civet cat feces. In addition, Gluconobacter and Citorobacter have uniquely metabolic enzymatic gene from other major animal genus. These special microbiome pathways are may related to making special coffee kopi luwak.
PRJDB7378	Generic sample from human gut metagenome	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains health, gastrectomy.
PRJDB7630	Gut metagenome in cardiovascular diseases	The gut microbiota has been linked to cardiovascular diseases. This study investigated the compositional and functional capacity of the gut microbiome in relation to cardiovascular diseases. We perform a metagenome-wide association study on stools from individuals with and without cardiovascular diseases.
PRJDB7767	Gut Microbiota dysbiosis leads to the development and progression of multiple sclerosis	We searched for specific bacterial species and gene functions involved in the pathogenesis of classical Western-type multiple sclerosis (CMS) by analyzing the gut microbial metagenomic gene sequence data of 62 relapsing-remitting CMS patients, 15 secondary progressive CMS patients, 21 atypical MS patients, 20 neuromyelitis optica spectrum disorder patients, and 55 age-matched healthy controls. We identified candidates of specific bacterial species and gene functions that are involved in the development and progression of MS.
PRJDB9383	Porphyromonas gingivalis impairs glucose uptake in muscle by altering gut microbiota	The aim of present study was to clarify the relationship between periodontal disease and MS. For this purpose, we measured IgG antibody titers to periodontopathic bacteria in MS patients. Based on the results, we then investigated the influence of P.gingivalis infection on glucose metabolism, gut microbiota, steatosis and glucose uptake in mice skeletal muscle. Here we report the metabolic disfunction in skeletal muscle by periodontal bacteria for first report, and suggest a new insight for the influence of periodontal disease in sarcopenia and myopathy.
PRJDB9649	Fecal microbiota transplantation alleviates diabetes peripheral neuropathy	Diabetic peripheral neuropathy (DPN) is one of the serious and long-term complications of diabetes mellitus, which has no modifiable treatment. Here we reported the results of using fecal microbiota transplantation (FMT) from the healthy donors as a therapeutic alternative for patients with DPN. Compared to the patients received placebo, the patients with FMT via mid-gut showed significant alleviation of the function of sensory and motor nerves after 12 weeks, accompanying with improvement of the gut barrier integrity and decrease of proinflammatory cytokines. The metagenomic sequencing data suggested that the gut microbiota in patients after FMT had higher capacity to produce butyrate and decreased the biosynthesis of endotoxin. Thus, our work provides the feasibility of using FMT to treatment for DPN.
PRJDB9922	Mice fecal lipidomics in antibiotics treatment	Mice fecal lipidomics in antibiotics treatment of 2 weeks. Antibiotics treatment included Amp. high, amp. low, Ctrl, Met. high, Met. low, Neo. high, Neo. low, Van. high, Van. low and Abx.
PRJEB101774	Metagenomes and bile acid profiles in IBD	The gut microbiota composition is closely linked to the pathogenesis of inflammatory bowel disease (IBD) and therapy response. Bile acids (BAs) are crucial for modulating intestinal immune responses, and dysbiosis can alter the intestinal BA profile. This study investigates whether dysbiosis in IBD affects metabolic pathways for microbial conversion of BAs, host BA composition and BA-induced Takeda G protein-coupled receptor 5 (TGR5) bioactivity. Here, metagenomic sequencing was performed on fecal samples from 61 IBD patients (33 CD, 28 UC) and 21 healthy controls (HC). Microbial BA pathways were analyzed within the metabolic networks. BA profiles in stool and plasma were measured by mass spectrometry, and TGR5 bioactivity was assessed.
PRJEB101827	Chromosomal and mobile antimicrobial resistance genes in the chicken caecal microbiome	The One Health Poultry Hub aims to understand and mitigate the spread of antimicrobial resistance and food-borne pathogens across poultry production systems globally. This umbrella BioProject represents datasets generated by the Royal Veterinary College (RVC) node, including metagenomic, amplicon, and long-read sequencing of poultry microbiomes and related environments. The project forms part of the international One Health Poultry Hub consortium (UKRI GCRF, grant BB/S011269/1) and complements other partner datasets archived at the NCBI, including BioProject PRJNA1224230. Data generated under this umbrella will include raw sequence reads, assemblies, and annotated analyses, forming a comprehensive resource for comparative microbiome and antimicrobial-resistance research. These datasets are part of a paper that investigates chromosomally integrated and mobile antimicrobial resistance genes in the chicken caecal microbiomes from Bangladesh, India and Viet Nam. It includes Nanopore reads (fastq.gz), Illumina reads (fastq.gz) and the Ceacal MAGs (fasta/ ASM).
PRJEB101960	Gut microbiome of toddlers up to 36 months of age	Background: The infant gut microbiome undergoes rapid diet- and environment-driven maturation in early life. Characterisation of its taxonomic and functional profiles enables insight into microbial adaptation during this critical developmental period. This study aimed to characterise longitudinal gut microbiome dynamics and evaluate associations between taxonomic and functional composition and environmental exposures. Results: A total of 108 faecal samples from 36 children across three time points (0-6, 6-12, and 12-36 months) were analysed using whole metagenome shotgun sequencing. The gut microbiome showed marked age-dependent shifts in taxonomic composition, with early dominance of Bifidobacteriaceae and Enterobacteriaceae transitioning to Bacteroidaceae, Lachnospiraceae, and Ruminococcaceae at later stages. Alpha diversity increased significantly with age (Shannon index: 1.94 Â± 0.63 to 3.96 Â± 0.59, p < 0.05), while beta diversity demonstrated progressive convergence and stabilisation of microbial communities. Differential analysis identified 35 species varying across time points, with the majority enriched in the 12â36-month group. Age group was the primary driver of taxonomic variation (RDA, p = 0.005), followed by dietary and environmental factors. Functional profiling revealed age-associated shifts in metabolic and transport-related functions. While alpha diversity of functional profile remained stable, beta diversity differed significantly between age groups (p < 0.05), indicating functional restructuring. Differential analysis revealed 47 gene products varying across time points, predominantly enriched in older children. Early-life antibiotic exposure showed strong associations with both taxonomic and functional profiles, particularly during the first months of life. Conclusions: The taxonomic and functional composition of the infant gut microbiome is primarily driven by age, with additional contributions from dietary and environmental factors. Microbial communities undergo a transition from early life dominance of facultative taxa to increased abundance of Bacteroidaceae and other anaerobes, coinciding with increasing diversity and community stabilisation after 12 months of age. Functional maturation is characterized by restructuring of gene profiles without major changes in functional alpha diversity. Early life antibiotic exposure showed limited long-term associations at the taxonomic level but was linked to persistent differences in functional profiles. These findings highlight the dynamic nature of microbiome development and the potential for early-life exposures to influence functional trajectories.
